adc_reads,read_ms_avg,read_ms_max,fits_budget,servo6_mean,servo6_std,servo6_min,servo6_max,servo7_mean,servo7_std,servo7_min,servo7_max,servo8_mean,servo8_std,servo8_min,servo8_max,servo9_mean,servo9_std,servo9_min,servo9_max
1,6.63,8.5,True,0.03291,0.00702,-0.00021,0.05479,0.02,0.02492,-0.01525,0.06661,0.03398,0.00755,0.005,0.05633,-0.0208,0.0415,-0.06731,0.06808
3,14.8,20.83,True,0.03139,0.00596,0.005,0.04458,0.01668,0.02343,-0.0096,0.05116,0.03377,0.00718,0.005,0.05096,-0.01992,0.03839,-0.06026,0.04923
5,21.02,34.77,False,0.02981,0.00606,0.005,0.04229,0.01849,0.02406,-0.01186,0.05932,0.03159,0.00702,0.005,0.047,-0.02127,0.03901,-0.06192,0.04615
