q_target,servo2_meas,servo2_resid,servo3_meas,servo3_resid,servo4_meas,servo4_resid,servo5_meas,servo5_resid,servo6_meas,servo6_resid,servo7_meas,servo7_resid,servo8_meas,servo8_resid,servo9_meas,servo9_resid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0001,0.0017,-0.0017,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.2585,-0.0085,0.2577,-0.0077,0.2507,-0.0007,0.2721,-0.0221,0.2531,-0.0031,0.2559,-0.0059,0.2495,0.0005,0.2507,-0.0007
0.5,0.5067,-0.0067,0.5226,-0.0226,0.5024,-0.0024,0.537,-0.037,0.5061,-0.0061,0.5172,-0.0172,0.4999,0.0001,0.499,0.001
0.75,0.7604,-0.0104,0.7984,-0.0484,0.7483,0.0017,0.8067,-0.0567,0.7557,-0.0057,0.7802,-0.0302,0.7527,-0.0027,0.7555,-0.0055
1.0,0.9992,0.0008,0.9991,0.0009,1.0,0.0,0.9932,0.0068,0.9993,0.0007,0.9973,0.0027,0.9987,0.0013,1.0,0.0
