ema_alpha,servo6_mean,servo6_std,servo6_min,servo6_max,servo7_mean,servo7_std,servo7_min,servo7_max,servo8_mean,servo8_std,servo8_min,servo8_max,servo9_mean,servo9_std,servo9_min,servo9_max
1.0,0.03211,0.00791,-0.00021,0.05806,0.01921,0.02415,-0.01017,0.05983,0.03468,0.00829,0.005,0.05942,-0.0195,0.04077,-0.06346,0.05846
0.5,0.03682,0.00611,0.005,0.05131,0.02165,0.0261,-0.01572,0.06301,0.03807,0.00669,0.005,0.0522,-0.01838,0.04179,-0.06152,0.05875
0.3,0.04297,0.00685,0.005,0.06022,0.02443,0.03004,-0.00841,0.06951,0.04502,0.00732,0.005,0.05978,-0.01399,0.04529,-0.06177,0.06467
0.2,0.05057,0.0079,0.00034,0.06214,0.02852,0.03082,-0.00942,0.06886,0.05256,0.00776,0.005,0.06393,-0.00924,0.04724,-0.06003,0.06854
