cycle,phase,step,t_ms,pause_no,servo6_q_target,servo6_q_measured,servo6_q_delta,servo7_q_target,servo7_q_measured,servo7_q_delta,servo8_q_target,servo8_q_measured,servo8_q_delta,servo9_q_target,servo9_q_measured,servo9_q_delta,middle_det_bit,index_det_bit
0,INTERACTIVE,-1,7775.0,-1,0.48,0.4712,0.0088,0.48,0.48331,-0.00331,0.48,0.46857,0.01143,0.48,0.46809,0.01191,-1,-1
0,INTERACTIVE,-1,7993.3,-1,0.48,0.47295,0.00705,0.48,0.49328,-0.01328,0.48,0.47031,0.00969,0.48,0.47389,0.00611,-1,-1
0,INTERACTIVE,-1,8207.5,-1,0.48,0.47818,0.00182,0.48,0.49826,-0.01826,0.48,0.47728,0.00272,0.48,0.47969,0.00031,-1,-1
0,INTERACTIVE,-1,8423.8,-1,0.48,0.47818,0.00182,0.48,0.4966,-0.0166,0.48,0.47554,0.00446,0.48,0.47969,0.00031,-1,-1
0,INTERACTIVE,-1,8643.6,-1,0.49,0.47993,0.01007,0.49,0.4966,-0.0066,0.49,0.47728,0.01272,0.49,0.47969,0.01031,-1,-1
0,INTERACTIVE,-1,8861.4,-1,0.49,0.48691,0.00309,0.49,0.5049,-0.0149,0.49,0.48076,0.00924,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,9076.5,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,9294.8,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,9513.5,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,9732.3,-1,0.49,0.49389,-0.00389,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48549,0.00451,-1,-1
0,INTERACTIVE,-1,9950.1,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,10168.3,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,10382.7,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49121,-0.00121,0.49,0.4913,-0.0013,-1,-1
0,INTERACTIVE,-1,10596.4,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.48947,0.00053,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,10815.3,-1,0.49,0.49215,-0.00215,0.49,0.5049,-0.0149,0.49,0.49295,-0.00295,0.49,0.4913,-0.0013,-1,-1
0,MARKER,-1,10893.5,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,11019.6,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.48947,0.00053,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,11238.1,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.48947,0.00053,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,11455.4,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,11669.3,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48936,0.00064,-1,-1
0,INTERACTIVE,-1,11887.9,-1,0.49,0.4904,-0.0004,0.49,0.50822,-0.01822,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,-1,-1
